iter_mean,iter_sigma2,time_before_elec,upper_bound,lower_bound,cycle
0.5481452416343153,3.9670139769409464e-5,93,0.5604901518785481,0.5358003313900825,2010
0.5357545232030049,3.242935689699818e-5,92,0.5469160919751582,0.5245929544308515,2010
0.5259506160052172,3.347478396621448e-5,91,0.5372906658324714,0.514610566177963,2010
0.5239265382458381,3.2434029963134257e-05,90,0.5350889111793311,0.5127641653123451,2010
0.5247565765557125,3.167624545050394e-5,89,0.5357877806841228,0.5137253724273022,2010
0.5210573246173799,3.1486373223097904e-5,88,0.5320554176963573,0.5100592315384024,2010
0.5185689461377372,2.9637803472977893e-5,87,0.5292393062920052,0.5078985859834692,2010
0.5126245209262759,3.094509185819011e-5,86,0.5235276702365633,0.5017213716159884,2010
0.5177926646684601,3.076802157518813e-5,85,0.5286645748816307,0.5069207544552895,2010
0.5182442319618548,2.8305868526523854e-5,84,0.5286720708813766,0.507816393042333,2010
0.5134530681272694,3.096916493159433e-5,83,0.5243604575491803,0.5025456787053586,2010
0.5090465764332202,3.1360513260026275e-5,82,0.5200226662533572,0.49807048661308306,2010
0.50610278838334,3.0281024442574186e-5,81,0.5168883149582734,0.4953172618084067,2010
0.5027915162538861,2.5500967136245414e-5,80,0.5126892187827864,0.4928938137249857,2010
0.5027762437982203,3.0789662052563155e-5,79,0.5136519766811632,0.4919005109152773,2010
0.5041714378332739,3.1358676614710305e-5,78,0.5151472062384048,0.4931956694281429,2010
0.5078484601087746,2.9133488402171842e-5,77,0.5184276476506317,0.49726927256691755,2010
0.514999742209941,3.038587412826106e-5,76,0.5258039253836533,0.5041955590362288,2010
0.5158516386628509,2.4612481754608883e-5,75,0.5255753884492504,0.5061278888764513,2010
0.5111894033220993,2.8502302137362058e-5,74,0.5216533626057973,0.5007254440384012,2010
0.5093308256468031,3.076677531550065e-5,73,0.5202025156742104,0.4984591356193958,2010
0.5091874747398127,3.1021436656915765e-5,72,0.5201040653733946,0.4982708841062309,2010
0.5031645735792537,2.6093197184826524e-5,71,0.5131765477255062,0.49315259943300116,2010
0.49542790702018263,3.285697180941586e-5,70,0.5066628232594366,0.4841929907809287,2010
0.492396193417731,4.185534205551609e-5,69,0.505076551537298,0.4797158352981639,2010
0.4893753229485149,2.3741730819271844e-5,68,0.4989255183975785,0.4798251274994513,2010
0.4895175873510706,2.6997318678105388e-5,67,0.4997015403867935,0.4793336343153477,2010
0.4828138028276077,3.102541584693634e-5,66,0.4937310935866555,0.4718965120685599,2010
0.4804158694136268,3.163638964391775e-5,65,0.49144013149578336,0.46939160733147023,2010
0.47727924683737305,3.16778482858373e-5,64,0.488310730054732,0.4662477636200141,2010
0.4749989289652587,3.1150270400191426e-5,63,0.4859381647141296,0.4640596932163878,2010
0.4721493468635033,2.888078347694185e-5,62,0.4826825523492526,0.461616141377754,2010
0.4809489685081791,2.700254135085472e-5,61,0.49113390654694217,0.470764030469416,2010
0.490621368602168,3.054618851352012e-5,60,0.5014540154529399,0.4797887217513961,2010
